,Country ,Capital ,Native /Official Language
226,Uganda,Kampala,"English, Swahili
"
227,UkrajinaУкраїна,KyjivКиїв,"Ukrainian(Cyrillic script)
"
228,Al-’Imārat Al-‘Arabiyyah Al-Muttaḥidahالإمارات العربيّة المتّحدة,‘Abū ẓabīأبوظبي,"Arabic(Arabic script)
"
229,United KingdomY Deyrnas UnedigUnitit KinrickRìoghachd AonaichteRíocht AontaitheAn Rywvaneth Unys,LondonLlundainLunnonLunnainnLondainLoundres,"EnglishWelshScotsScots GaelicIrishCornish
"
230,United States or AmericaEstados UnidosÉtats-Unis(multiple names)‘Amelika Hui Pū ‘ia,"Washington D.C.Washington D.C.Washington, D.C.(multiple names)Wakinekona/ Wasinetona","EnglishSpanishCajun FrenchIndigenousHawaiian
"
231,United States Virgin Islands,Charlotte Amalie,"English
"
232,Uruguay,Montevideo,"Spanish
"
233,O‘zbekistonЎзбекистон,ToshkentТошкент,"Uzbek(Cyrillic script)
"
234,Vanuatu,Port-Vila,"French
"
235,Civitas Vaticana  Città del Vaticano,Civitas Vaticana  Città del Vaticano,"LatinItalian
"
236,Venezuela,Caracas,"Spanish
"
237,Việt Nam,Hà Nội,"Vietnamese
"
238,Wallis-et-FutunaʻUvea mo Futuna,Mata Utu  Matāʻutu,"FrenchWallisianFutunan
"
239,Al-Yamanاليمن,Ṣan‘ā’ﺻﻨﻌﺎﺀ,"Arabic(Arabic script)
"
240,Zambia,Lusaka,"English, Bemba, Chewa
"
241,Zimbabwe,Harare,"English, Shona
"
